expressao;frequencia;tipo
confiança valores de;1;trigram
valores de essa;1;trigram
de essa parte;1;trigram
parte de valores;1;trigram
de valores de;1;trigram
valores de confiança;1;trigram
de confiança é;1;trigram
confiança é muito;1;trigram
é muito importante;1;trigram
muito importante tanto;1;trigram
importante tanto do;1;trigram
tanto do meu;1;trigram
meu pai como;1;trigram
pai como da;1;trigram
como da minha;1;trigram
da minha mãe;1;trigram
minha mãe mas;1;trigram
mãe mas principalmente;1;trigram
mas principalmente do;1;trigram
principalmente do meu;1;trigram
pai quando a;1;trigram
quando a gente;1;trigram
a gente trabalha;1;trigram
gente trabalha principalmente;1;trigram
trabalha principalmente no;1;trigram
principalmente no trabalho;1;trigram
no trabalho relações;1;trigram
trabalho relações pessoais;1;trigram
relações pessoais trabalho;1;trigram
pessoais trabalho onde;1;trigram
trabalho onde a;1;trigram
a gente passar;1;trigram
gente passar a;1;trigram
passar a gente;1;trigram
a gente deixar;1;trigram
gente deixar sempre;1;trigram
deixar sempre uma;1;trigram
sempre uma boa;1;trigram
uma boa imagem;1;trigram
boa imagem da;1;trigram
imagem da gente;1;trigram
da gente que;1;trigram
gente que as;1;trigram
as pessoas sejam;1;trigram
pessoas sejam lembradas;1;trigram
sejam lembradas e;1;trigram
lembradas e deixam;1;trigram
e deixam marca;1;trigram
deixam marca que;1;trigram
marca que a;1;trigram
a pessoa é;1;trigram
pessoa é uma;1;trigram
uma pessoa confiável;1;trigram
pessoa confiável que;1;trigram
confiável que é;1;trigram
uma pessoa que;1;trigram
pessoa que tem;1;trigram
que tem valores;1;trigram
tem valores positivos;1;trigram
valores positivos que;1;trigram
positivos que deixou;1;trigram
que deixou uma;1;trigram
deixou uma marca;1;trigram
uma marca alguma;1;trigram
marca alguma coisa;1;trigram
alguma coisa de;1;trigram
coisa de positivo;1;trigram
de positivo por;1;trigram
positivo por onde;1;trigram
por onde passa;1;trigram
onde passa meu;1;trigram
passa meu pai;1;trigram
meu pai disse;1;trigram
pai disse que;1;trigram
disse que era;1;trigram
era uma frase;1;trigram
uma frase que;1;trigram
frase que ele;1;trigram
que ele me;1;trigram
ele me ensinou;1;trigram
me ensinou que;1;trigram
ensinou que eu;1;trigram
eu nunca esqueci;1;trigram
nunca esqueci que;1;trigram
esqueci que é;1;trigram
fosse assim seja;1;trigram
assim seja indispensável;1;trigram
seja indispensável onde;1;trigram
indispensável onde você;1;trigram
onde você for;1;trigram
você for faça;1;trigram
for faça com;1;trigram
com que o;1;trigram
que o seu;1;trigram
o seu trabalho;1;trigram
seu trabalho faça;1;trigram
trabalho faça com;1;trigram
com que a;1;trigram
que a sua;1;trigram
a sua presença;1;trigram
sua presença seja;1;trigram
presença seja indispensável;1;trigram
seja indispensável não;1;trigram
indispensável não deixe;1;trigram
não deixe que;1;trigram
deixe que as;1;trigram
as pessoas lhe;1;trigram
pessoas lhe descartem;1;trigram
lhe descartem à;1;trigram
descartem à toa;1;trigram
à toa seja;1;trigram
toa seja indispensável;1;trigram
seja indispensável e;1;trigram
indispensável e foi;1;trigram
e foi isso;1;trigram
foi isso uma;1;trigram
isso uma coisa;1;trigram
coisa que pautei;1;trigram
que pautei e;1;trigram
pautei e sempre;1;trigram
e sempre procurei;1;trigram
sempre procurei ser;1;trigram
procurei ser na;1;trigram
ser na minha;1;trigram
minha vida foi;1;trigram
vida foi isso;1;trigram
foi isso aí;1;trigram
isso aí bom;1;trigram
aí bom muito;1;trigram
bom muito bom;1;trigram
muito bom a;1;trigram
bom a senhora;1;trigram
acha que hoje;1;trigram
que hoje como;1;trigram
hoje como adulta;1;trigram
como adulta a;1;trigram
adulta a senhora;1;trigram
a senhora entende;1;trigram
senhora entende melhor;1;trigram
entende melhor eles;1;trigram
melhor eles naquela;1;trigram
eles naquela época;1;trigram
naquela época como;1;trigram
época como eles;1;trigram
como eles agiam;1;trigram
eles agiam as;1;trigram
agiam as coisas;1;trigram
coisas que eles;1;trigram
que eles faziam;1;trigram
eles faziam sim;1;trigram
faziam sim acho;1;trigram
sim acho que;1;trigram
acho que na;1;trigram
que na vida;1;trigram
na vida da;1;trigram
da gente na;1;trigram
gente na hora;1;trigram
na hora a;1;trigram
hora a gente;1;trigram
gente faz sempre;1;trigram
faz sempre o;1;trigram
sempre o melhor;1;trigram
o melhor não;1;trigram
melhor não pode;1;trigram
não pode querer;1;trigram
pode querer que;1;trigram
querer que a;1;trigram
que a vida;1;trigram
vida deles também;1;trigram
deles também pode;1;trigram
também pode se;1;trigram
pode se posicionar;1;trigram
se posicionar a;1;trigram
posicionar a vida;1;trigram
vida deles como;1;trigram
deles como eles;1;trigram
como eles foram;1;trigram
foram criados eles;1;trigram
criados eles também;1;trigram
eles também não;1;trigram
também não educaram;1;trigram
não educaram a;1;trigram
educaram a gente;1;trigram
a gente da;1;trigram
gente da forma;1;trigram
da forma que;1;trigram
forma que eles;1;trigram
que eles foram;1;trigram
foram criados porque;1;trigram
criados porque a;1;trigram
porque a criação;1;trigram
a criação deles;1;trigram
criação deles foi;1;trigram
deles foi eles;1;trigram
foi eles foram;1;trigram
foram criados com;1;trigram
criados com muita;1;trigram
com muita dureza;1;trigram
muita dureza meus;1;trigram
dureza meus avós;1;trigram
meus avós criaram;1;trigram
avós criaram o;1;trigram
criaram o meu;1;trigram
meu pai tanto;1;trigram
pai tanto a;1;trigram
tanto a minha;1;trigram
a minha mãe;1;trigram
minha mãe como;1;trigram
mãe como o;1;trigram
como o meu;1;trigram
pai foi criado;1;trigram
foi criado de;1;trigram
criado de uma;1;trigram
uma forma muito;1;trigram
forma muito dura;1;trigram
muito dura e;1;trigram
dura e eles;1;trigram
e eles foram;1;trigram
eles foram infinitamente;1;trigram
foram infinitamente melhores;1;trigram
infinitamente melhores com;1;trigram
melhores com a;1;trigram
a gente mas;1;trigram
gente mas a;1;trigram
mas a educação;1;trigram
a educação do;1;trigram
educação do meu;1;trigram
pai foi muito;1;trigram
foi muito rígida;1;trigram
muito rígida isso;1;trigram
rígida isso aí;1;trigram
aí é sem;1;trigram
é sem dúvida;1;trigram
sem dúvida e;1;trigram
dúvida e a;1;trigram
não pode ficar;1;trigram
pode ficar levando;1;trigram
ficar levando dizendo;1;trigram
levando dizendo que;1;trigram
dizendo que pensar;1;trigram
que pensar só;1;trigram
pensar só na;1;trigram
só na parte;1;trigram
na parte que;1;trigram
parte que foi;1;trigram
que foi educada;1;trigram
foi educada muito;1;trigram
educada muito rígida;1;trigram
muito rígida tive;1;trigram
rígida tive uma;1;trigram
tive uma educação;1;trigram
uma educação o;1;trigram
educação o meu;1;trigram
pai era muito;1;trigram
era muito severo;1;trigram
muito severo porque;1;trigram
severo porque era;1;trigram
porque era o;1;trigram
era o melhor;1;trigram
o melhor dele;1;trigram
melhor dele tenho;1;trigram
dele tenho certeza;1;trigram
tenho certeza absoluta;1;trigram
certeza absoluta que;1;trigram
absoluta que ele;1;trigram
que ele estava;1;trigram
ele estava fazendo;1;trigram
estava fazendo aquilo;1;trigram
fazendo aquilo ali;1;trigram
aquilo ali para;1;trigram
ali para fazer;1;trigram
para fazer o;1;trigram
fazer o melhor;1;trigram
o melhor tenho;1;trigram
melhor tenho certeza;1;trigram
tenho certeza que;1;trigram
certeza que ele;1;trigram
que ele fez;1;trigram
ele fez o;1;trigram
fez o melhor;1;trigram
o melhor acho;1;trigram
melhor acho que;1;trigram
acho que a;1;trigram
que a minha;1;trigram
a minha personalidade;1;trigram
minha personalidade foi;1;trigram
personalidade foi lapidada;1;trigram
foi lapidada dessa;1;trigram
lapidada dessa forma;1;trigram
dessa forma não;1;trigram
forma não acho;1;trigram
não acho ruim;1;trigram
acho ruim a;1;trigram
ruim a minha;1;trigram
a minha forma;1;trigram
forma de ser;1;trigram
de ser não;1;trigram
ser não eu;1;trigram
não eu gosto;1;trigram
eu gosto de;1;trigram
gosto de ser;1;trigram
de ser assim;1;trigram
ser assim se;1;trigram
assim se a;1;trigram
senhora pudesse mudar;1;trigram
pudesse mudar não;1;trigram
mudar não mudaria;1;trigram
não mudaria nada;1;trigram
mudaria nada não;1;trigram
nada não ok;1;trigram
não ok e;1;trigram
e agora para;1;trigram
agora para as;1;trigram
para as perguntas;1;trigram
as perguntas principais;1;trigram
perguntas principais qual;1;trigram
principais qual a;1;trigram
de ter dado;1;trigram
ter dado deles;1;trigram
dado deles ou;1;trigram
deles ou de;1;trigram
ou de algum;1;trigram
de algum deles;1;trigram
algum deles essa;1;trigram
deles essa parte;1;trigram
essa parte que;1;trigram
parte que eu;1;trigram
que eu já;1;trigram
eu já falei;1;trigram
já falei que;1;trigram
falei que eu;1;trigram
que eu tenho;1;trigram
tenho uma eu;1;trigram
uma eu sou;1;trigram
muito rígida na;1;trigram
rígida na minha;1;trigram
forma de em;1;trigram
de em seus;1;trigram
em seus ideais;1;trigram
seus ideais não;1;trigram
ideais não é;1;trigram
não é não;1;trigram
é não mas;1;trigram
não mas na;1;trigram
mas na minha;1;trigram
forma de de;1;trigram
de de ver;1;trigram
as coisas de;1;trigram
coisas de analisar;1;trigram
de analisar eu;1;trigram
analisar eu sou;1;trigram
muito rígida comigo;1;trigram
rígida comigo principalmente;1;trigram
comigo principalmente e;1;trigram
principalmente e com;1;trigram
e com os;1;trigram
com os outros;1;trigram
os outros eu;1;trigram
outros eu sou;1;trigram
sou muito severa;1;trigram
muito severa nas;1;trigram
severa nas críticas;1;trigram
nas críticas com;1;trigram
críticas com as;1;trigram
pessoas eu tenho;1;trigram
tenho uma forma;1;trigram
uma forma de;1;trigram
forma de pensar;1;trigram
de pensar sou;1;trigram
pensar sou muito;1;trigram
sou muito crítica;1;trigram
muito crítica no;1;trigram
crítica no comportamento;1;trigram
no comportamento das;1;trigram
comportamento das pessoas;1;trigram
pessoas não aceito;1;trigram
muitas desculpas nisso;1;trigram
desculpas nisso aí;1;trigram
aí eu sou;1;trigram
sou muito você;1;trigram
muito você sabe;1;trigram
sabe disso você;1;trigram
disso você é;1;trigram
você é minha;1;trigram
é minha filha;1;trigram
minha filha você;1;trigram
filha você sabe;1;trigram
sabe disso eu;1;trigram
disso eu não;1;trigram
eu não aceito;1;trigram
muitas desculpas nem;1;trigram
desculpas nem minhas;1;trigram
nem minhas eu;1;trigram
minhas eu sou;1;trigram
muito rígida principalmente;1;trigram
rígida principalmente comigo;1;trigram
principalmente comigo e;1;trigram
comigo e com;1;trigram
e com as;1;trigram
as pessoas assim;1;trigram
pessoas assim como;1;trigram
assim como eu;1;trigram
como eu sou;1;trigram
eu sou comigo;1;trigram
sou comigo eu;1;trigram
comigo eu sou;1;trigram
eu sou com;1;trigram
sou com as;1;trigram
pessoas eu não;1;trigram
eu não acho;1;trigram
não acho que;1;trigram
acho que tem;1;trigram
que tem muitas;1;trigram
tem muitas coisas;1;trigram
muitas coisas que;1;trigram
coisas que acontecem;1;trigram
que acontecem que;1;trigram
acontecem que as;1;trigram
pessoas hoje em;1;trigram
em dia isso;1;trigram
dia isso é;1;trigram
é uma coisa;1;trigram
coisa que eu;1;trigram
que eu acho;1;trigram
eu acho errado;1;trigram
acho errado hoje;1;trigram
errado hoje em;1;trigram
em dia se;1;trigram
dia se desculpam;1;trigram
desculpam muito as;1;trigram
muito as pessoas;1;trigram
as pessoas ah;1;trigram
pessoas ah porque;1;trigram
ah porque é;1;trigram
é isso porque;1;trigram
porque é aquilo;1;trigram
é aquilo desculpa;1;trigram
aquilo desculpa fulano;1;trigram
desculpa fulano fez;1;trigram
fulano fez isso;1;trigram
fez isso porque;1;trigram
é assim porque;1;trigram
porque é assado;1;trigram
é assado não;1;trigram
assado não existe;1;trigram
não existe desculpa;1;trigram
existe desculpa as;1;trigram
desculpa as pessoas;1;trigram
pessoas hoje se;1;trigram
hoje se desculpam;1;trigram
desculpam muito pelas;1;trigram
muito pelas más;1;trigram
pelas más atitudes;1;trigram
más atitudes e;1;trigram
atitudes e isso;1;trigram
e isso que;1;trigram
que está piorando;1;trigram
está piorando o;1;trigram
piorando o mundo;1;trigram
o mundo é;1;trigram
mundo é por;1;trigram
é por conta;1;trigram
conta disso porque;1;trigram
disso porque não;1;trigram
porque não existe;1;trigram
não existe mais;1;trigram
existe mais rigidez;1;trigram
mais rigidez tem;1;trigram
rigidez tem que;1;trigram
uma certa rigidez;1;trigram
certa rigidez na;1;trigram
rigidez na disciplina;1;trigram
na disciplina das;1;trigram
disciplina das pessoas;1;trigram
pessoas não estou;1;trigram
não estou falando;1;trigram
estou falando de;1;trigram
falando de ter;1;trigram
de ter regime;1;trigram
ter regime de;1;trigram
regime de dureza;1;trigram
de dureza de;1;trigram
dureza de castigo;1;trigram
de castigo não;1;trigram
castigo não não;1;trigram
não não é;1;trigram
não é isso;1;trigram
é isso tem;1;trigram
isso tem que;1;trigram
uma certa cobrança;1;trigram
certa cobrança mais;1;trigram
cobrança mais rígida;1;trigram
mais rígida nas;1;trigram
rígida nas atitudes;1;trigram
nas atitudes das;1;trigram
atitudes das pessoas;1;trigram
das pessoas e;1;trigram
pessoas e as;1;trigram
e as pessoas;1;trigram
pessoas hoje estão;1;trigram
hoje estão deixando;1;trigram
estão deixando as;1;trigram
deixando as coisas;1;trigram
as coisas correrem;1;trigram
coisas correrem frouxas;1;trigram
correrem frouxas e;1;trigram
frouxas e sem;1;trigram
e sem ter;1;trigram
sem ter uma;1;trigram
uma certa punição;1;trigram
certa punição pelos;1;trigram
punição pelos atos;1;trigram
pelos atos que;1;trigram
atos que as;1;trigram
as pessoas fazem;1;trigram
pessoas fazem e;1;trigram
fazem e isso;1;trigram
isso eu acho;1;trigram
acho que está;1;trigram
está acontecendo principalmente;1;trigram
acontecendo principalmente os;1;trigram
principalmente os pais;1;trigram
os pais com;1;trigram
pais com os;1;trigram
com os filhos;1;trigram
os filhos os;1;trigram
filhos os pais;1;trigram
os pais estão;1;trigram
pais estão muito;1;trigram
estão muito deixando;1;trigram
muito deixando a;1;trigram
deixando a coisa;1;trigram
a coisa correr;1;trigram
coisa correr frouxa;1;trigram
correr frouxa não;1;trigram
frouxa não querem;1;trigram
não querem mais;1;trigram
querem mais ter;1;trigram
mais ter o;1;trigram
ter o trabalho;1;trigram
o trabalho de;1;trigram
trabalho de educar;1;trigram
de educar os;1;trigram
educar os filhos;1;trigram
os filhos de;1;trigram
filhos de forma;1;trigram
de forma correta;1;trigram
forma correta e;1;trigram
correta e isso;1;trigram
e isso meus;1;trigram
isso meus pais;1;trigram
meus pais fizeram;1;trigram
pais fizeram bem;1;trigram
fizeram bem com;1;trigram
bem com a;1;trigram
a gente uma;1;trigram
gente uma coisa;1;trigram
uma coisa também;1;trigram
coisa também que;1;trigram
também que eu;1;trigram
eu herdei deles;1;trigram
herdei deles que;1;trigram
deles que é;1;trigram
uma característica é;1;trigram
característica é a;1;trigram
é a minha;1;trigram
a minha memória;1;trigram
minha memória tenho;1;trigram
memória tenho uma;1;trigram
tenho uma memória;1;trigram
uma memória boa;1;trigram
memória boa de;1;trigram
boa de fatos;1;trigram
de fatos de;1;trigram
fatos de números;1;trigram
de números de;1;trigram
números de datas;1;trigram
de datas e;1;trigram
datas e isso;1;trigram
isso eu herdei;1;trigram
eu herdei muito;1;trigram
herdei muito do;1;trigram
muito do meu;1;trigram
meu pai de;1;trigram
pai de memória;1;trigram
de memória de;1;trigram
memória de coisas;1;trigram
de coisas que;1;trigram
coisas que aconteceram;1;trigram
que aconteceram de;1;trigram
aconteceram de locais;1;trigram
de locais associar;1;trigram
locais associar datas;1;trigram
associar datas com;1;trigram
datas com locais;1;trigram
com locais eu;1;trigram
locais eu lembro;1;trigram
lembro de coisas;1;trigram
de coisas dos;1;trigram
coisas dos lugares;1;trigram
dos lugares que;1;trigram
lugares que morei;1;trigram
que morei de;1;trigram
morei de eventos;1;trigram
de eventos de;1;trigram
eventos de datas;1;trigram
de datas tanto;1;trigram
datas tanto que;1;trigram
tanto que o;1;trigram
que o fernando;1;trigram
o fernando fala;1;trigram
fernando fala muito;1;trigram
fala muito como;1;trigram
muito como é;1;trigram
é que sabe;1;trigram
que sabe das;1;trigram
sabe das datas;1;trigram
das datas eu;1;trigram
datas eu sei;1;trigram
eu sei datas;1;trigram
sei datas de;1;trigram
datas de coisas;1;trigram
de coisas da;1;trigram
coisas da minha;1;trigram
da minha infância;1;trigram
minha infância sei;1;trigram
infância sei de;1;trigram
sei de tudo;1;trigram
de tudo e;1;trigram
tudo e isso;1;trigram
isso é meu;1;trigram
é meu pai;1;trigram
pai quando eu;1;trigram
quando eu lembro;1;trigram
lembro de datas;1;trigram
de datas eu;1;trigram
datas eu lembro;1;trigram
eu lembro dele;1;trigram
lembro dele ele;1;trigram
dele ele sabe;1;trigram
ele sabe datas;1;trigram
sabe datas todas;1;trigram
datas todas da;1;trigram
todas da infância;1;trigram
da infância dele;1;trigram
infância dele e;1;trigram
dele e eu;1;trigram
e eu lembro;1;trigram
eu lembro isso;1;trigram
lembro isso isso;1;trigram
isso isso é;1;trigram
uma característica que;1;trigram
característica que eu;1;trigram
herdei dele meus;1;trigram
dele meus irmãos;1;trigram
meus irmãos têm;1;trigram
irmãos têm muito;1;trigram
têm muito disso;1;trigram
muito disso mas;1;trigram
disso mas eu;1;trigram
mas eu me;1;trigram
eu me vejo;1;trigram
me vejo muito;1;trigram
vejo muito nisso;1;trigram
muito nisso aí;1;trigram
aí eu herdei;1;trigram
herdei dele isso;1;trigram
dele isso aí;1;trigram
isso aí essa;1;trigram
aí essa facilidade;1;trigram
essa facilidade de;1;trigram
facilidade de decorar;1;trigram
de decorar eventos;1;trigram
decorar eventos datas;1;trigram
eventos datas episódios;1;trigram
datas episódios onde;1;trigram
episódios onde foi;1;trigram
onde foi como;1;trigram
foi como foi;1;trigram
como foi isso;1;trigram
foi isso é;1;trigram
isso é a;1;trigram
é a memória;1;trigram
a memória que;1;trigram
memória que chama;1;trigram
que chama a;1;trigram
chama a memória;1;trigram
a memória do;1;trigram
memória do elefante;1;trigram
do elefante a;1;trigram
elefante a memória;1;trigram
a memória a;1;trigram
memória a senhora;1;trigram
a senhora herdou;1;trigram
senhora herdou mais;1;trigram
herdou mais de;1;trigram
mais de vovô;1;trigram
de vovô e;1;trigram
vovô e a;1;trigram
e a parte;1;trigram
parte da rigidez;1;trigram
da rigidez dos;1;trigram
rigidez dos dois;1;trigram
dos dois mas;1;trigram
dois mas eu;1;trigram
mas eu acho;1;trigram
acho que principalmente;1;trigram
que principalmente de;1;trigram
principalmente de vovó;1;trigram
de vovó também;1;trigram
vovó também não;1;trigram
também não mas;1;trigram
não mas dele;1;trigram
mas dele e;1;trigram
dele e de;1;trigram
e de mainha;1;trigram
de mainha também;1;trigram
mainha também mas;1;trigram
também mas mainha;1;trigram
mas mainha é;1;trigram
mainha é menos;1;trigram
é menos flexível;1;trigram
menos flexível minha;1;trigram
flexível minha mãe;1;trigram
minha mãe é;1;trigram
mãe é mais;1;trigram
é mais dura;1;trigram
mais dura ela;1;trigram
dura ela não;1;trigram
ela não é;1;trigram
não é muito;1;trigram
é muito flexível;1;trigram
muito flexível meu;1;trigram
flexível meu pai;1;trigram
meu pai é;1;trigram
pai é mais;1;trigram
é mais flexível;1;trigram
mais flexível ela;1;trigram
flexível ela não;1;trigram
ela não sim;1;trigram
não sim ok;1;trigram
sim ok e;1;trigram
e agora a;1;trigram
agora a próxima;1;trigram
a próxima qual;1;trigram
próxima qual a;1;trigram
de ter passado;1;trigram
ter passado para;1;trigram
passado para mim;1;trigram
para mim essa;1;trigram
mim essa parte;1;trigram
parte de ser;1;trigram
de ser uma;1;trigram
ser uma pessoa;1;trigram
uma pessoa mais;1;trigram
pessoa mais solidária;1;trigram
mais solidária mais;1;trigram
solidária mais humana;1;trigram
mais humana eu;1;trigram
humana eu acho;1;trigram
que é ter;1;trigram
é ter mais;1;trigram
ter mais empatia;1;trigram
mais empatia que;1;trigram
empatia que hoje;1;trigram
que hoje se;1;trigram
hoje se precisa;1;trigram
se precisa ter;1;trigram
precisa ter olhos;1;trigram
ter olhos de;1;trigram
olhos de ver;1;trigram
as coisas com;1;trigram
coisas com sentido;1;trigram
com sentido mais;1;trigram
sentido mais apurado;1;trigram
mais apurado não;1;trigram
apurado não ver;1;trigram
falo muito não;1;trigram
muito não ver;1;trigram
as coisas simplesmente;1;trigram
coisas simplesmente só;1;trigram
simplesmente só por;1;trigram
só por ver;1;trigram
por ver o;1;trigram
acontecendo ali mas;1;trigram
ali mas o;1;trigram
mas o porquê;1;trigram
o porquê das;1;trigram
porquê das coisas;1;trigram
coisas que estão;1;trigram
que estão acontecendo;1;trigram
estão acontecendo eu;1;trigram
acontecendo eu acho;1;trigram
acho que isso;1;trigram
que isso eu;1;trigram
isso eu consigo;1;trigram
eu consigo passar;1;trigram
consigo passar para;1;trigram
para você você;1;trigram
você você consegue;1;trigram
você consegue ver;1;trigram
consegue ver isso;1;trigram
ver isso muito;1;trigram
isso muito porque;1;trigram
muito porque eu;1;trigram
porque eu falo;1;trigram
falo muito nisso;1;trigram
muito nisso eu;1;trigram
nisso eu bato;1;trigram
eu bato muito;1;trigram
bato muito nisso;1;trigram
muito nisso que;1;trigram
nisso que as;1;trigram
as coisas não;1;trigram
coisas não podem;1;trigram
não podem ser;1;trigram
podem ser vistas;1;trigram
ser vistas simplesmente;1;trigram
vistas simplesmente só;1;trigram
simplesmente só porque;1;trigram
só porque você;1;trigram
porque você vê;1;trigram
você vê olha;1;trigram
vê olha e;1;trigram
olha e está;1;trigram
e está ali;1;trigram
está ali não;1;trigram
ali não mas;1;trigram
não mas tem;1;trigram
tem que ver;1;trigram
que ver o;1;trigram
ver o porquê;1;trigram
o porquê daquilo;1;trigram
porquê daquilo que;1;trigram
acontecendo ali isso;1;trigram
ali isso a;1;trigram
isso a gente;1;trigram
tem que analisar;1;trigram
que analisar e;1;trigram
analisar e não;1;trigram
pode ser a;1;trigram
ser a gente;1;trigram
não pode tirar;1;trigram
pode tirar conclusões;1;trigram
tirar conclusões daquilo;1;trigram
conclusões daquilo porque;1;trigram
daquilo porque está;1;trigram
está ali só;1;trigram
ali só porque;1;trigram
só porque está;1;trigram
está ali aí;1;trigram
ali aí você;1;trigram
aí você tira;1;trigram
você tira a;1;trigram
tira a conclusão;1;trigram
a conclusão daquilo;1;trigram
conclusão daquilo que;1;trigram
que está ali;1;trigram
está ali tem;1;trigram
ali tem que;1;trigram
tem que tirar;1;trigram
que tirar a;1;trigram
tirar a conclusão;1;trigram
a conclusão do;1;trigram
conclusão do porquê;1;trigram
do porquê chegou;1;trigram
porquê chegou até;1;trigram
chegou até aquilo;1;trigram
até aquilo ali;1;trigram
aquilo ali e;1;trigram
ali e tentar;1;trigram
e tentar combater;1;trigram
tentar combater antes;1;trigram
combater antes de;1;trigram
antes de chegar;1;trigram
de chegar aquilo;1;trigram
chegar aquilo ali;1;trigram
aquilo ali tentar;1;trigram
ali tentar não;1;trigram
tentar não deixar;1;trigram
não deixar que;1;trigram
deixar que aquilo;1;trigram
que aquilo se;1;trigram
aquilo se quiser;1;trigram
se quiser que;1;trigram
quiser que não;1;trigram
que não aconteça;1;trigram
não aconteça fazer;1;trigram
aconteça fazer com;1;trigram
fazer com que;1;trigram
com que aquilo;1;trigram
que aquilo não;1;trigram
aquilo não chegue;1;trigram
não chegue até;1;trigram
chegue até o;1;trigram
até o ponto;1;trigram
o ponto que;1;trigram
ponto que está;1;trigram
está do jeito;1;trigram
jeito que está;1;trigram
que está e;1;trigram
está e é;1;trigram
e é exatamente;1;trigram
é exatamente voltamos;1;trigram
exatamente voltamos ao;1;trigram
voltamos ao ponto;1;trigram
ao ponto que;1;trigram
ponto que eu;1;trigram
eu falo as;1;trigram
falo as coisas;1;trigram
as coisas estão;1;trigram
coisas estão do;1;trigram
que estão hoje;1;trigram
estão hoje porque;1;trigram
hoje porque ninguém;1;trigram
porque ninguém combate;1;trigram
ninguém combate ninguém;1;trigram
combate ninguém vai;1;trigram
ninguém vai atrás;1;trigram
vai atrás das;1;trigram
atrás das causas;1;trigram
das causas que;1;trigram
causas que estão;1;trigram
que estão lá;1;trigram
estão lá atrás;1;trigram
lá atrás continua;1;trigram
atrás continua combatendo;1;trigram
continua combatendo o;1;trigram
combatendo o que;1;trigram
que está hoje;1;trigram
está hoje é;1;trigram
hoje é como;1;trigram
como se combater;1;trigram
se combater estamos;1;trigram
combater estamos em;1;trigram
estamos em um;1;trigram
em um grande;1;trigram
um grande tanque;1;trigram
grande tanque cheio;1;trigram
tanque cheio d'água;1;trigram
cheio d'água e;1;trigram
d'água e esse;1;trigram
e esse tanque;1;trigram
esse tanque tem;1;trigram
tanque tem um;1;trigram
tem um vazamento;1;trigram
um vazamento que;1;trigram
vazamento que a;1;trigram
não sabe esse;1;trigram
sabe esse vazamento;1;trigram
esse vazamento está;1;trigram
vazamento está lá;1;trigram
está lá aí;1;trigram
lá aí o;1;trigram
aí o que;1;trigram
que acontece que;1;trigram
acontece que fazem;1;trigram
que fazem hoje;1;trigram
fazem hoje colocam;1;trigram
hoje colocam um;1;trigram
colocam um balde;1;trigram
um balde para;1;trigram
balde para a;1;trigram
para a água;1;trigram
a água que;1;trigram
água que está;1;trigram
que está vazando;1;trigram
está vazando em;1;trigram
vazando em vez;1;trigram
em vez de;1;trigram
vez de procurar;1;trigram
de procurar o;1;trigram
procurar o furo;1;trigram
o furo e;1;trigram
furo e tapar;1;trigram
e tapar o;1;trigram
tapar o furo;1;trigram
o furo por;1;trigram
furo por dentro;1;trigram
por dentro sim;1;trigram
dentro sim e;1;trigram
sim e isso;1;trigram
isso é que;1;trigram
que ser feito;1;trigram
ser feito mas;1;trigram
feito mas não;1;trigram
mas não as;1;trigram
não as pessoas;1;trigram
as pessoas estão;1;trigram
pessoas estão colocando;1;trigram
estão colocando a;1;trigram
colocando a balde;1;trigram
a balde ali;1;trigram
balde ali enchendo;1;trigram
ali enchendo quando;1;trigram
enchendo quando a;1;trigram
quando a balde;1;trigram
a balde enche;1;trigram
balde enche aí;1;trigram
enche aí vai;1;trigram
aí vai lá;1;trigram
vai lá e;1;trigram
lá e coloca;1;trigram
e coloca outro;1;trigram
coloca outro balde;1;trigram
outro balde aí;1;trigram
balde aí vai;1;trigram
aí vai aparando;1;trigram
vai aparando tapando;1;trigram
aparando tapando o;1;trigram
tapando o sol;1;trigram
o sol com;1;trigram
sol com a;1;trigram
com a peneira;1;trigram
a peneira vão;1;trigram
peneira vão tapando;1;trigram
vão tapando o;1;trigram
tapando o buraco;1;trigram
o buraco aqui;1;trigram
buraco aqui ali;1;trigram
aqui ali ali;1;trigram
ali ali e;1;trigram
ali e nunca;1;trigram
e nunca consertam;1;trigram
nunca consertam as;1;trigram
consertam as coisas;1;trigram
as coisas como;1;trigram
coisas como devem;1;trigram
como devem ser;1;trigram
devem ser consertadas;1;trigram
ser consertadas por;1;trigram
consertadas por isso;1;trigram
por isso que;1;trigram
isso que a;1;trigram
que a história;1;trigram
a história das;1;trigram
história das enchentes;1;trigram
das enchentes as;1;trigram
enchentes as grandes;1;trigram
as grandes enchentes;1;trigram
grandes enchentes os;1;trigram
enchentes os grandes;1;trigram
os grandes problemas;1;trigram
grandes problemas estruturais;1;trigram
problemas estruturais das;1;trigram
estruturais das cidades;1;trigram
das cidades é;1;trigram
cidades é em;1;trigram
é em consequência;1;trigram
em consequência disso;1;trigram
consequência disso aí;1;trigram
disso aí ninguém;1;trigram
aí ninguém trata;1;trigram
ninguém trata os;1;trigram
trata os problemas;1;trigram
os problemas na;1;trigram
problemas na fonte;1;trigram
na fonte não;1;trigram
fonte não põe;1;trigram
não põe o;1;trigram
põe o dedo;1;trigram
o dedo na;1;trigram
dedo na ferida;1;trigram
na ferida isso;1;trigram
ferida isso em;1;trigram
isso em todas;1;trigram
em todas as;1;trigram
todas as causas;1;trigram
