Column1;total_palavras;tipos_diferentes;frases;comprimento_medio_frase;pronomes;advérbios;verbos;substantivos;adjetivos
entrevista.txt;3216;494;261;1232;389;323;481;613;99
TranscricaoMarta.txt;334;155;41;815;30;29;55;61;14
